url_list,movie_names
/movie/bi/mi/basic.nhn?code=143379,골드
/movie/bi/mi/basic.nhn?code=36506,드럼라인
/movie/bi/mi/basic.nhn?code=38197,패션 오브 크라이스트
/movie/bi/mi/basic.nhn?code=134963,라라랜드
/movie/bi/mi/basic.nhn?code=19479,해가 서쪽에서 뜬다면
/movie/bi/mi/basic.nhn?code=51689,다우트
/movie/bi/mi/basic.nhn?code=11671,풀 메탈 자켓
/movie/bi/mi/basic.nhn?code=63379,영원한 여름
/movie/bi/mi/basic.nhn?code=118370,"안녕,헤이즐"
/movie/bi/mi/basic.nhn?code=52429,웨이 백
/movie/bi/mi/basic.nhn?code=99355,내가 고백을 하면
/movie/bi/mi/basic.nhn?code=65991,우리 생애 최고의 순간
/movie/bi/mi/basic.nhn?code=61450,드림걸즈
/movie/bi/mi/basic.nhn?code=43370,콘스탄트 가드너
/movie/bi/mi/basic.nhn?code=17058,타락천사
/movie/bi/mi/basic.nhn?code=56447,가족의 탄생
/movie/bi/mi/basic.nhn?code=10758,아이다호
/movie/bi/mi/basic.nhn?code=154980,꿈의 제인
/movie/bi/mi/basic.nhn?code=35900,국화꽃 향기
/movie/bi/mi/basic.nhn?code=156091,심야식당2
/movie/bi/mi/basic.nhn?code=125447,오두막
/movie/bi/mi/basic.nhn?code=18015,단테스 피크
/movie/bi/mi/basic.nhn?code=101962,캐롤
/movie/bi/mi/basic.nhn?code=91045,반창꼬
/movie/bi/mi/basic.nhn?code=23848,태양은 없다
/movie/bi/mi/basic.nhn?code=187526,더 킹: 헨리 5세
/movie/bi/mi/basic.nhn?code=93757,버틀러: 대통령의 집사
/movie/bi/mi/basic.nhn?code=125401,몬스터 콜
/movie/bi/mi/basic.nhn?code=150632,세상에서 고양이가 사라진다면
/movie/bi/mi/basic.nhn?code=81891,코리아
/movie/bi/mi/basic.nhn?code=31893,결혼은 미친 짓이다
/movie/bi/mi/basic.nhn?code=123298,내일을 위한 시간
/movie/bi/mi/basic.nhn?code=25670,벨벳 골드마인
/movie/bi/mi/basic.nhn?code=132946,4등
/movie/bi/mi/basic.nhn?code=103797,족구왕
/movie/bi/mi/basic.nhn?code=17744,데드 맨 워킹
/movie/bi/mi/basic.nhn?code=48690,맨 프럼 어스
/movie/bi/mi/basic.nhn?code=81967,사우스포
/movie/bi/mi/basic.nhn?code=90901,노예 12년
/movie/bi/mi/basic.nhn?code=101950,그녀
/movie/bi/mi/basic.nhn?code=167054,더 와이프
/movie/bi/mi/basic.nhn?code=97747,디스커넥트
/movie/bi/mi/basic.nhn?code=136686,오빠생각
/movie/bi/mi/basic.nhn?code=149512,재심
/movie/bi/mi/basic.nhn?code=104331,블루 재스민
/movie/bi/mi/basic.nhn?code=133424,데몰리션
/movie/bi/mi/basic.nhn?code=19078,아이언 마스크
/movie/bi/mi/basic.nhn?code=17692,아폴로 13
/movie/bi/mi/basic.nhn?code=87311,장고:분노의 추적자
/movie/bi/mi/basic.nhn?code=18429,컨스피러시
/movie/bi/mi/basic.nhn?code=161967,기생충
/movie/bi/mi/basic.nhn?code=76103,고백
/movie/bi/mi/basic.nhn?code=136842,빅쇼트
/movie/bi/mi/basic.nhn?code=66034,데어 윌 비 블러드
/movie/bi/mi/basic.nhn?code=10546,아비정전
/movie/bi/mi/basic.nhn?code=62167,식객
/movie/bi/mi/basic.nhn?code=38455,퀼
/movie/bi/mi/basic.nhn?code=144578,문영
/movie/bi/mi/basic.nhn?code=154293,"아이, 토냐"
/movie/bi/mi/basic.nhn?code=44022,메종 드 히미코
/movie/bi/mi/basic.nhn?code=38318,당신이 사랑하는 동안에
/movie/bi/mi/basic.nhn?code=10453,졸업
/movie/bi/mi/basic.nhn?code=34969,언페이스풀
/movie/bi/mi/basic.nhn?code=11757,캐리
/movie/bi/mi/basic.nhn?code=136821,"로봇, 소리"
/movie/bi/mi/basic.nhn?code=68035,어톤먼트
/movie/bi/mi/basic.nhn?code=141259,가려진 시간
/movie/bi/mi/basic.nhn?code=120759,스틸 앨리스
/movie/bi/mi/basic.nhn?code=168045,바이스
/movie/bi/mi/basic.nhn?code=114139,네버다이 버터플라이
/movie/bi/mi/basic.nhn?code=112666,블랙 가스펠
/movie/bi/mi/basic.nhn?code=130943,위아 유어 프렌즈
/movie/bi/mi/basic.nhn?code=118395,와일드
/movie/bi/mi/basic.nhn?code=46528,밀크
/movie/bi/mi/basic.nhn?code=51690,싱글 맨
/movie/bi/mi/basic.nhn?code=137347,리틀 포레스트2: 겨울과 봄
/movie/bi/mi/basic.nhn?code=92505,아무르
/movie/bi/mi/basic.nhn?code=50278,국경의 남쪽
/movie/bi/mi/basic.nhn?code=154029,행복 목욕탕
/movie/bi/mi/basic.nhn?code=74736,챔프
