url_list,movie_names,kr_movie_names,director_list,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
/movie/bi/mi/basic.nhn?code=37888,아는 여자,아는 여자,장진,"정재영, 이나영",9.13,6935,107
/movie/bi/mi/basic.nhn?code=17970,샤인,샤인,스콧 힉스,"제프리 러쉬, 노아 테일러",9.07,1264,105
/movie/bi/mi/basic.nhn?code=19128,뮬란,뮬란,"토니 밴크로프트, 베리 쿡","밍나 웬, 레아 살롱가, B.D. 웡",9.24,909,88
/movie/bi/mi/basic.nhn?code=51462,그랜 토리노,그랜 토리노,클린트 이스트우드,"클린트 이스트우드, 크리스토퍼 칼리, 비 방",9.23,4178,116
/movie/bi/mi/basic.nhn?code=39436,말아톤,말아톤,정윤철,"조승우, 김미숙",9.22,5252,115
/movie/bi/mi/basic.nhn?code=38613,명탐정 코난 극장판 6 -베이커가의 망령,명탐정 코난: 베이커가의 망령,코다마 켄지,"타카야마 미나미, 야마자키 와카나",9.26,1579,106
/movie/bi/mi/basic.nhn?code=10489,미져리,미져리,로브 라이너,"제임스 칸, 케시 베이츠",9.01,896,104
/movie/bi/mi/basic.nhn?code=68520,블라인드,블라인드,타마르 반 덴 도프,"요런 셀데슬라흐츠, 핼리너 레인, 카테리네 베르베케",-,-,98
/movie/bi/mi/basic.nhn?code=11104,동방불패,동방불패,"정소동, 당계례","이연걸, 임청하",9.29,1292,107
/movie/bi/mi/basic.nhn?code=17092,다이 하드 3,다이 하드 3,존 맥티어난,"브루스 윌리스, 제레미 아이언스",9.06,662,128
/movie/bi/mi/basic.nhn?code=10113,첩혈쌍웅,첩혈쌍웅,오우삼,"주윤발, 이수현, 엽천문",9.09,701,111
/movie/bi/mi/basic.nhn?code=65463,즐거운 인생,즐거운 인생,이준익,"정진영, 김윤석, 김상호",9.14,5304,112
/movie/bi/mi/basic.nhn?code=40890,짱구는 못말려 극장판 9 - 태풍을 부르는 모레츠!,영화 크레용 신짱: 폭풍을 부르는 모레츠! 오토나 제국의 역습,하라 케이이치,"야지마 아키코, 나라하시 미키, 후지와라 케이지",-,-,89
/movie/bi/mi/basic.nhn?code=17131,마스크,마스크,척 러셀,짐 캐리,9.17,1204,97
/movie/bi/mi/basic.nhn?code=66801,식코,식코,마이클 무어,마이클 무어,9.16,2187,120
/movie/bi/mi/basic.nhn?code=36565,무간도,무간도,"맥조휘, 유위강","양조위, 유덕화",9.09,2715,100
/movie/bi/mi/basic.nhn?code=17802,제8요일,제8요일,자코 반 도마엘,"다니엘 오떼유, 파스칼 뒤켄, 미우-미우",9.0,625,118
/movie/bi/mi/basic.nhn?code=18542,서유기 - 월광보합,서유기 - 월광보합,유진위,"주성치, 오맹달",9.21,1854,88
/movie/bi/mi/basic.nhn?code=38227,첫 키스만 50번째,첫 키스만 50번째,피터 시걸,"아담 샌들러, 드류 베리모어",9.21,3653,99
/movie/bi/mi/basic.nhn?code=60755,불편한 진실,불편한 진실,데이비스 구겐하임,"[국내] 
						
							전체 관람가
							
						
						
						
						
						 [해외] 
						
							PG
도움말",8.79,615,100
/movie/bi/mi/basic.nhn?code=10173,사랑과 영혼,사랑과 영혼,제리 주커,"패트릭 스웨이지, 데미 무어",9.2,865,127
/movie/bi/mi/basic.nhn?code=34093,오아시스,오아시스,이창동,"설경구, 문소리",9.21,1342,132
/movie/bi/mi/basic.nhn?code=16172,시스터 액트 2,시스터 액트 2,빌 듀크,우피 골드버그,9.1,534,107
/movie/bi/mi/basic.nhn?code=37398,세컨핸드 라이온스,세컨핸드 라이온스,팀 맥칸라이즈,"마이클 케인, 로버트 듀발, 헤일리 조엘 오스먼트",9.03,734,108
/movie/bi/mi/basic.nhn?code=10314,마지막 황제,마지막 황제,베르나르도 베르톨루치,"존 론, 조안 첸, 피터 오툴",9.21,1187,162
/movie/bi/mi/basic.nhn?code=43570,글로리 로드,글로리 로드,제임스 가트너,"조쉬 루카스, 데릭 루크, 오스틴 니콜스",-,-,118
/movie/bi/mi/basic.nhn?code=51562,줄무늬 파자마를 입은 소년,줄무늬 파자마를 입은 소년,마크 허만,"에이사 버터필드, 잭 스캔론",-,-,94
/movie/bi/mi/basic.nhn?code=58333,혐오스런 마츠코의 일생,혐오스런 마츠코의 일생,나카시마 테츠야,나카타니 미키,9.12,5957,129
/movie/bi/mi/basic.nhn?code=12393,시스터 액트,시스터 액트,에밀 아돌리노,우피 골드버그,9.26,859,100
/movie/bi/mi/basic.nhn?code=64128,비상,비상,임유철,오만석,9.18,1098,100
/movie/bi/mi/basic.nhn?code=36843,러브 액츄얼리,러브 액츄얼리,리차드 커티스,"휴 그랜트, 리암 니슨, 콜린 퍼스",8.94,5685,130
/movie/bi/mi/basic.nhn?code=47986,스트레인저 - 무황인담,스트레인저 - 무황인담,안도 마사히로,"치넨 유리, 나가세 토모야, 오츠카 아키오",9.11,1135,103
/movie/bi/mi/basic.nhn?code=18817,8월의 크리스마스,8월의 크리스마스,허진호,"한석규, 심은하",9.27,2769,97
/movie/bi/mi/basic.nhn?code=31794,반지의 제왕 - 반지 원정대,반지의 제왕: 반지 원정대,피터 잭슨,"일라이저 우드, 이안 맥켈런, 리브 타일러",9.27,3808,228
/movie/bi/mi/basic.nhn?code=11003,천장지구,천장지구,진목승,"유덕화, 오천련",9.2,798,90
/movie/bi/mi/basic.nhn?code=31788,마이너리티 리포트,마이너리티 리포트,스티븐 스필버그,톰 크루즈,9.23,2528,145
